800,,,,,,
peeling,250,345,,,,
ACCEL,2011-03-16 16:02:32.915,109,1717,0.0078125,-0.8476563,-1.0625
ACCEL,2011-03-16 16:02:32.935,109,1718,-0.0546875,-0.6054688,-0.9765625
ACCEL,2011-03-16 16:02:32.955,109,1719,-0.078125,-0.421875,-0.890625
ACCEL,2011-03-16 16:02:32.975,109,1720,-0.09765625,-0.2578125,-0.7851563
ACCEL,2011-03-16 16:02:32.995,109,1721,-0.0546875,-0.2109375,-0.7382813
ACCEL,2011-03-16 16:02:33.015,109,1722,-0.02734375,-0.09765625,-0.6445313
ACCEL,2011-03-16 16:02:33.031,109,1723,0.01953125,0,-0.6640625
ACCEL,2011-03-16 16:02:33.051,109,1724,-0.1796875,0.04296875,-0.9960938
ACCEL,2011-03-16 16:02:33.071,109,1725,0.0546875,-0.171875,-1.414063
ACCEL,2011-03-16 16:02:33.091,109,1726,0.1367188,-0.3125,-0.796875
ACCEL,2011-03-16 16:02:33.111,109,1727,0.1015625,-0.1484375,-0.7070313
ACCEL,2011-03-16 16:02:33.131,109,1728,-0.0390625,0.05078125,-0.8671875
ACCEL,2011-03-16 16:02:33.151,109,1729,0.2304688,-0.46875,-1
ACCEL,2011-03-16 16:02:33.171,109,1730,0.00390625,-0.05859375,-0.9179688
ACCEL,2011-03-16 16:02:33.183,109,1731,0.04296875,-0.07421875,-0.640625
ACCEL,2011-03-16 16:02:33.203,109,1732,0.09375,-0.2617188,-0.6796875
ACCEL,2011-03-16 16:02:33.223,109,1733,-0.0703125,-0.453125,-0.671875
ACCEL,2011-03-16 16:02:33.243,109,1734,0.04296875,-0.7695313,-0.9726563
ACCEL,2011-03-16 16:02:33.263,109,1735,-0.09375,-1.113281,-1.347656
ACCEL,2011-03-16 16:02:33.283,109,1736,-0.1640625,-0.6015625,-1.339844
ACCEL,2011-03-16 16:02:33.303,109,1737,0.08984375,-0.75,-1.152344
ACCEL,2011-03-16 16:02:33.323,109,1738,0.08984375,-0.3984375,-0.8085938
ACCEL,2011-03-16 16:02:33.343,109,1739,0.1289063,-0.4023438,-0.6171875
ACCEL,2011-03-16 16:02:33.364,109,1740,0.109375,-0.3632813,-0.625
ACCEL,2011-03-16 16:02:33.384,109,1741,-0.0078125,-0.3203125,-0.7617188
ACCEL,2011-03-16 16:02:33.404,109,1742,-0.08203125,-0.4375,-0.921875
ACCEL,2011-03-16 16:02:33.424,109,1743,-0.1171875,-0.59375,-1.078125
ACCEL,2011-03-16 16:02:33.444,109,1744,-0.1171875,-0.7578125,-1.207031
ACCEL,2011-03-16 16:02:33.464,109,1745,-0.125,-0.8945313,-1.320313
ACCEL,2011-03-16 16:02:33.484,109,1746,-0.1289063,-0.9882813,-1.320313
ACCEL,2011-03-16 16:02:33.496,109,1747,-0.09375,-1,-1.242188
ACCEL,2011-03-16 16:02:33.516,109,1748,-0.06640625,-0.9140625,-1.085938
ACCEL,2011-03-16 16:02:33.536,109,1749,-0.06640625,-0.7773438,-0.9140625
ACCEL,2011-03-16 16:02:33.556,109,1750,-0.0546875,-0.6992188,-0.7851563
ACCEL,2011-03-16 16:02:33.576,109,1751,-0.05078125,-0.578125,-0.6679688
ACCEL,2011-03-16 16:02:33.596,109,1752,-0.09765625,-0.40625,-0.6132813
ACCEL,2011-03-16 16:02:33.616,109,1753,-0.1445313,-0.2539063,-0.6328125
ACCEL,2011-03-16 16:02:33.636,109,1754,-0.1523438,-0.140625,-0.5898438
ACCEL,2011-03-16 16:02:33.656,109,1755,-0.15625,-0.0390625,-0.6367188
ACCEL,2011-03-16 16:02:33.672,109,1756,-0.15625,0.1640625,-0.7148438
ACCEL,2011-03-16 16:02:33.692,109,1757,-0.4296875,-0.2226563,-1.1875
ACCEL,2011-03-16 16:02:33.712,109,1758,-0.3242188,-0.2929688,-1.289063
ACCEL,2011-03-16 16:02:33.732,109,1759,-0.25,-0.1875,-1.015625
ACCEL,2011-03-16 16:02:33.752,109,1760,-0.09765625,-0.3476563,-0.8867188
ACCEL,2011-03-16 16:02:33.772,109,1761,0.09375,-0.5,-0.4179688
ACCEL,2011-03-16 16:02:33.792,109,1762,0.0078125,-0.3671875,-0.5117188
ACCEL,2011-03-16 16:02:33.812,109,1763,-0.0703125,-0.4804688,-0.671875
ACCEL,2011-03-16 16:02:33.844,109,1764,-0.1132813,-0.578125,-1.039063
ACCEL,2011-03-16 16:02:33.864,109,1765,-0.1875,-0.5625,-1.125
ACCEL,2011-03-16 16:02:33.884,109,1766,-0.1171875,-0.5859375,-1.09375
ACCEL,2011-03-16 16:02:33.904,109,1767,-0.1601563,-0.5351563,-1
ACCEL,2011-03-16 16:02:33.924,109,1768,-0.1015625,-0.8164063,-1.019531
ACCEL,2011-03-16 16:02:33.944,109,1769,-0.06640625,-1.039063,-1.058594
ACCEL,2011-03-16 16:02:33.964,109,1770,-0.1210938,-1.0625,-1.238281
ACCEL,2011-03-16 16:02:33.984,109,1771,-0.125,-1.027344,-1.289063
ACCEL,2011-03-16 16:02:34.000,109,1772,-0.06640625,-1.066406,-1.246094
ACCEL,2011-03-16 16:02:34.020,109,1773,0.01171875,-1.035156,-1.070313
ACCEL,2011-03-16 16:02:34.040,109,1774,0.04296875,-0.9726563,-0.8828125
ACCEL,2011-03-16 16:02:34.060,109,1775,-0.01171875,-0.7695313,-0.7304688
ACCEL,2011-03-16 16:02:34.080,109,1776,-0.0390625,-0.5742188,-0.6992188
ACCEL,2011-03-16 16:02:34.100,109,1777,-0.0390625,-0.4726563,-0.734375
ACCEL,2011-03-16 16:02:34.120,109,1778,0.00390625,-0.4140625,-0.7148438
ACCEL,2011-03-16 16:02:34.140,109,1779,0.01171875,-0.3085938,-0.6601563
ACCEL,2011-03-16 16:02:34.172,109,1780,-0.02734375,-0.1679688,-0.6796875
ACCEL,2011-03-16 16:02:34.192,109,1781,-0.046875,-0.0078125,-0.6601563
ACCEL,2011-03-16 16:02:34.212,109,1782,0.00390625,-0.1953125,-0.7304688
ACCEL,2011-03-16 16:02:34.232,109,1783,-0.04296875,-0.1953125,-1.183594
ACCEL,2011-03-16 16:02:34.252,109,1784,-0.06640625,-0.04296875,-0.7695313
ACCEL,2011-03-16 16:02:34.272,109,1785,0.1054688,-0.4726563,-0.8242188
ACCEL,2011-03-16 16:02:34.292,109,1786,-0.08203125,0.1054688,-0.6523438
ACCEL,2011-03-16 16:02:34.312,109,1787,-0.0390625,-0.0546875,-0.7890625
ACCEL,2011-03-16 16:02:34.308,109,1788,-0.05859375,-0.21875,-0.7460938
ACCEL,2011-03-16 16:02:34.328,109,1789,-0.1328125,-0.515625,-0.7734375
ACCEL,2011-03-16 16:02:34.348,109,1790,-0.1640625,-1.082031,-1.15625
ACCEL,2011-03-16 16:02:34.368,109,1791,-0.171875,-1.269531,-1.128906
ACCEL,2011-03-16 16:02:34.388,109,1792,-0.1796875,-1.265625,-1.304688
ACCEL,2011-03-16 16:02:34.408,109,1793,-0.1757813,-1.3125,-1.507813
ACCEL,2011-03-16 16:02:34.428,109,1794,-0.03125,-1.324219,-1.445313
ACCEL,2011-03-16 16:02:34.448,109,1795,-0.06640625,-1.1875,-1.433594
ACCEL,2011-03-16 16:02:34.468,109,1796,-0.01171875,-1.0625,-1.265625
ACCEL,2011-03-16 16:02:34.500,109,1797,-0.0859375,-0.8398438,-1.175781
ACCEL,2011-03-16 16:02:34.520,109,1798,-0.0234375,-0.7539063,-0.9882813
ACCEL,2011-03-16 16:02:34.540,109,1799,-0.01953125,-0.5546875,-0.71875
ACCEL,2011-03-16 16:02:34.560,109,1800,-0.0546875,-0.2148438,-0.5546875
ACCEL,2011-03-16 16:02:34.580,109,1801,0.046875,-0.0625,-0.4140625
ACCEL,2011-03-16 16:02:34.600,109,1802,0.046875,0.0859375,-0.40625
ACCEL,2011-03-16 16:02:34.620,109,1803,0.01953125,0.2148438,-0.4492188
ACCEL,2011-03-16 16:02:34.640,109,1804,-0.00390625,0.2070313,-0.4804688
ACCEL,2011-03-16 16:02:34.672,109,1805,0.1914063,0.3789063,-0.4570313
ACCEL,2011-03-16 16:02:34.692,109,1806,-0.0546875,0.07421875,-1.039063
ACCEL,2011-03-16 16:02:34.712,109,1807,-0.2226563,0.1210938,-1.183594
ACCEL,2011-03-16 16:02:34.732,109,1808,-0.015625,0.2304688,-0.9375
ACCEL,2011-03-16 16:02:34.752,109,1809,-0.046875,0.2304688,-0.796875
ACCEL,2011-03-16 16:02:34.772,109,1810,0.0625,-0.1523438,-0.7148438
ACCEL,2011-03-16 16:02:34.792,109,1811,-0.08984375,-0.0390625,-0.8789063
ACCEL,2011-03-16 16:02:34.812,109,1812,-0.015625,-0.40625,-1
ACCEL,2011-03-16 16:02:34.828,109,1813,-0.203125,0.4101563,-0.9882813
ACCEL,2011-03-16 16:02:34.848,109,1814,-0.1015625,-0.6523438,-0.9921875
ACCEL,2011-03-16 16:02:34.868,109,1815,-0.2460938,0.1132813,-1.070313
ACCEL,2011-03-16 16:02:34.888,109,1816,-0.3007813,-0.3164063,-1.175781
ACCEL,2011-03-16 16:02:34.908,109,1817,-0.2421875,-0.625,-1.308594
ACCEL,2011-03-16 16:02:34.928,109,1818,-0.1875,-0.7109375,-1.125
ACCEL,2011-03-16 16:02:34.948,109,1819,-0.21875,-0.828125,-1.226563
ACCEL,2011-03-16 16:02:34.968,109,1820,-0.140625,-1.15625,-1.507813
ACCEL,2011-03-16 16:02:34.980,109,1821,-0.078125,-1.097656,-1.441406
ACCEL,2011-03-16 16:02:35.000,109,1822,0.05078125,-1.003906,-1.132813
ACCEL,2011-03-16 16:02:35.020,109,1823,0.06640625,-0.8164063,-0.9140625
ACCEL,2011-03-16 16:02:35.040,109,1824,0.03125,-0.5546875,-0.8046875
ACCEL,2011-03-16 16:02:35.060,109,1825,0.04296875,-0.3984375,-0.7460938
ACCEL,2011-03-16 16:02:35.080,109,1826,0.03515625,-0.265625,-0.75
ACCEL,2011-03-16 16:02:35.100,109,1827,0.0078125,-0.1289063,-0.8203125
ACCEL,2011-03-16 16:02:35.120,109,1828,-0.08203125,0.109375,-0.8867188
ACCEL,2011-03-16 16:02:35.140,109,1829,-0.0859375,0.2539063,-0.875
ACCEL,2011-03-16 16:02:35.172,109,1830,-0.015625,0.171875,-1.039063
ACCEL,2011-03-16 16:02:35.192,109,1831,-0.1445313,0.0078125,-1.351563
ACCEL,2011-03-16 16:02:35.212,109,1832,-0.2226563,0.0546875,-1.085938
ACCEL,2011-03-16 16:02:35.232,109,1833,-0.0703125,-0.2070313,-0.7734375
ACCEL,2011-03-16 16:02:35.252,109,1834,-0.01171875,-0.08984375,-0.5585938
ACCEL,2011-03-16 16:02:35.272,109,1835,0.125,-0.5351563,-0.390625
ACCEL,2011-03-16 16:02:35.292,109,1836,-0.015625,-0.5117188,-0.7109375
ACCEL,2011-03-16 16:02:35.312,109,1837,-0.1445313,-0.890625,-0.9960938
ACCEL,2011-03-16 16:02:35.324,109,1838,-0.1171875,-0.96875,-1.1875
ACCEL,2011-03-16 16:02:35.344,109,1839,0.109375,-1.265625,-1.222656
ACCEL,2011-03-16 16:02:35.364,109,1840,0.1015625,-1.054688,-1.070313
ACCEL,2011-03-16 16:02:35.384,109,1841,0.07421875,-0.9609375,-1.121094
ACCEL,2011-03-16 16:02:35.404,109,1842,0.1015625,-1.101563,-1.273438
ACCEL,2011-03-16 16:02:35.424,109,1843,0.1640625,-1.203125,-1.207031
ACCEL,2011-03-16 16:02:35.444,109,1844,0.1796875,-1.199219,-1.066406
ACCEL,2011-03-16 16:02:35.464,109,1845,0.171875,-1.109375,-0.9023438
ACCEL,2011-03-16 16:02:35.484,109,1846,0.05078125,-0.828125,-0.8125
ACCEL,2011-03-16 16:02:35.505,109,1847,0.046875,-0.6171875,-0.6992188
ACCEL,2011-03-16 16:02:35.525,109,1848,0.015625,-0.40625,-0.6015625
ACCEL,2011-03-16 16:02:35.545,109,1849,0.01171875,-0.1875,-0.5585938
ACCEL,2011-03-16 16:02:35.565,109,1850,0.00390625,0,-0.59375
ACCEL,2011-03-16 16:02:35.585,109,1851,-0.5390625,0.9335938,-1.226563
ACCEL,2011-03-16 16:02:35.605,109,1852,0.109375,0.1953125,-0.6445313
ACCEL,2011-03-16 16:02:35.625,109,1853,0.1757813,0.140625,-0.4492188
ACCEL,2011-03-16 16:02:35.652,109,1854,0.3671875,-0.2304688,-0.3984375
ACCEL,2011-03-16 16:02:35.672,109,1855,-0.1601563,-0.0078125,-0.4609375
ACCEL,2011-03-16 16:02:35.692,109,1856,0.01953125,-0.5390625,-0.7851563
ACCEL,2011-03-16 16:02:35.712,109,1857,0.0390625,-0.640625,-0.6679688
ACCEL,2011-03-16 16:02:35.732,109,1858,0.08203125,-0.5859375,-0.640625
ACCEL,2011-03-16 16:02:35.752,109,1859,0.09375,-0.7070313,-0.4765625
ACCEL,2011-03-16 16:02:35.772,109,1860,0.06640625,-0.8789063,-0.7890625
ACCEL,2011-03-16 16:02:35.792,109,1861,-0.1914063,-0.71875,-1.125
ACCEL,2011-03-16 16:02:35.812,109,1862,-0.1289063,-1.460938,-1.21875
ACCEL,2011-03-16 16:02:35.824,109,1863,-0.015625,-1.164063,-1.082031
ACCEL,2011-03-16 16:02:35.844,109,1864,0.09765625,-1.488281,-1.332031
ACCEL,2011-03-16 16:02:35.864,109,1865,0.01953125,-1.285156,-1.453125
ACCEL,2011-03-16 16:02:35.884,109,1866,0.1054688,-1.121094,-1.25
ACCEL,2011-03-16 16:02:35.904,109,1867,0.1445313,-0.9804688,-1.0625
ACCEL,2011-03-16 16:02:35.924,109,1868,0.140625,-0.8359375,-0.8945313
ACCEL,2011-03-16 16:02:35.944,109,1869,0.125,-0.7226563,-0.765625
ACCEL,2011-03-16 16:02:35.964,109,1870,0.1132813,-0.6015625,-0.6210938
ACCEL,2011-03-16 16:02:35.984,109,1871,0.0546875,-0.390625,-0.5703125
ACCEL,2011-03-16 16:02:36.005,109,1872,0.04296875,-0.2695313,-0.6054688
ACCEL,2011-03-16 16:02:36.025,109,1873,0.05859375,-0.2148438,-0.578125
ACCEL,2011-03-16 16:02:36.045,109,1874,0.06640625,-0.1289063,-0.5859375
ACCEL,2011-03-16 16:02:36.065,109,1875,0.06640625,0.2617188,-0.4570313
ACCEL,2011-03-16 16:02:36.085,109,1876,-0.2773438,0.01953125,-0.796875
ACCEL,2011-03-16 16:02:36.105,109,1877,-0.078125,-0.02734375,-0.9492188
ACCEL,2011-03-16 16:02:36.125,109,1878,-0.2226563,-0.04296875,-1.082031
ACCEL,2011-03-16 16:02:36.141,109,1879,0.03125,-0.3867188,-0.9648438
ACCEL,2011-03-16 16:02:36.161,109,1880,-0.01171875,-0.3125,-0.71875
ACCEL,2011-03-16 16:02:36.181,109,1881,0.01953125,-0.515625,-0.765625
ACCEL,2011-03-16 16:02:36.201,109,1882,-0.1054688,-0.859375,-0.84375
ACCEL,2011-03-16 16:02:36.221,109,1883,-0.0703125,-0.8945313,-1.109375
ACCEL,2011-03-16 16:02:36.241,109,1884,-0.1289063,-2.074219,-2.566406
ACCEL,2011-03-16 16:02:36.261,109,1885,0.00390625,-0.828125,-1.234375
ACCEL,2011-03-16 16:02:36.281,109,1886,0.2304688,-0.9726563,-0.9335938
ACCEL,2011-03-16 16:02:36.297,109,1887,0.125,-1.042969,-1.171875
ACCEL,2011-03-16 16:02:36.317,109,1888,0.015625,-0.9296875,-1.101563
ACCEL,2011-03-16 16:02:36.337,109,1889,0.109375,-1.039063,-1.011719
ACCEL,2011-03-16 16:02:36.357,109,1890,0.1171875,-0.9414063,-0.8164063
ACCEL,2011-03-16 16:02:36.377,109,1891,0.1289063,-0.75,-0.6640625
ACCEL,2011-03-16 16:02:36.397,109,1892,0.0703125,-0.5078125,-0.5703125
ACCEL,2011-03-16 16:02:36.417,109,1893,0.0546875,-0.34375,-0.546875
ACCEL,2011-03-16 16:02:36.437,109,1894,0.1054688,-0.3046875,-0.5664063
ACCEL,2011-03-16 16:02:36.453,109,1895,0.09375,-0.2265625,-0.6171875
ACCEL,2011-03-16 16:02:36.473,109,1896,0.06640625,-0.1757813,-0.71875
ACCEL,2011-03-16 16:02:36.493,109,1897,-0.09375,-0.1289063,-0.8203125
ACCEL,2011-03-16 16:02:36.513,109,1898,0.0859375,-0.296875,-0.6679688
ACCEL,2011-03-16 16:02:36.533,109,1899,-0.0078125,-0.3320313,-0.828125
ACCEL,2011-03-16 16:02:36.553,109,1900,0.046875,-0.4960938,-0.7773438
ACCEL,2011-03-16 16:02:36.573,109,1901,0.09765625,-0.859375,-0.421875
ACCEL,2011-03-16 16:02:36.593,109,1902,0.0546875,-0.5429688,-0.5820313
ACCEL,2011-03-16 16:02:36.625,109,1903,-0.1367188,-0.453125,-1.113281
ACCEL,2011-03-16 16:02:36.645,109,1904,-0.1171875,-0.3671875,-0.96875
ACCEL,2011-03-16 16:02:36.665,109,1905,0.03125,-0.6132813,-0.7851563
ACCEL,2011-03-16 16:02:36.685,109,1906,-0.00390625,-0.4296875,-0.75
ACCEL,2011-03-16 16:02:36.705,109,1907,0.1640625,-0.6757813,-0.6601563
ACCEL,2011-03-16 16:02:36.725,109,1908,-0.0859375,-0.5898438,-0.796875
ACCEL,2011-03-16 16:02:36.745,109,1909,-0.02734375,-0.796875,-1.136719
ACCEL,2011-03-16 16:02:36.765,109,1910,0.09375,-1.101563,-1.296875
ACCEL,2011-03-16 16:02:36.781,109,1911,-0.03515625,-0.953125,-0.9101563
ACCEL,2011-03-16 16:02:36.801,109,1912,0.1640625,-1.28125,-1.117188
ACCEL,2011-03-16 16:02:36.821,109,1913,0.1015625,-1.402344,-1.386719
ACCEL,2011-03-16 16:02:36.841,109,1914,0.1640625,-1.425781,-1.246094
ACCEL,2011-03-16 16:02:36.861,109,1915,0.1796875,-1.277344,-1.144531
ACCEL,2011-03-16 16:02:36.881,109,1916,0.1875,-1.105469,-0.9375
ACCEL,2011-03-16 16:02:36.901,109,1917,0.1328125,-0.796875,-0.7929688
ACCEL,2011-03-16 16:02:36.921,109,1918,0.08984375,-0.546875,-0.75
ACCEL,2011-03-16 16:02:36.958,109,1919,0.09375,-0.3945313,-0.6367188
ACCEL,2011-03-16 16:02:36.978,109,1920,0.02734375,-0.1757813,-0.5507813
ACCEL,2011-03-16 16:02:36.998,109,1921,0,-0.00390625,-0.5546875
ACCEL,2011-03-16 16:02:37.018,109,1922,0.2578125,0.3945313,-0.6601563
ACCEL,2011-03-16 16:02:37.038,109,1923,-0.03515625,-0.0546875,-1.179688
ACCEL,2011-03-16 16:02:37.058,109,1924,0.15625,-0.2929688,-0.6054688
ACCEL,2011-03-16 16:02:37.078,109,1925,0.02734375,0.046875,-0.6015625
ACCEL,2011-03-16 16:02:37.078,109,1926,0.2304688,-0.3867188,-0.5625
ACCEL,2011-03-16 16:02:37.098,109,1927,0.2226563,-0.3710938,-0.6367188
ACCEL,2011-03-16 16:02:37.118,109,1928,0.2148438,-0.2890625,-0.703125
ACCEL,2011-03-16 16:02:37.138,109,1929,0.171875,-0.234375,-0.765625
ACCEL,2011-03-16 16:02:37.158,109,1930,0.0625,0.05078125,-0.8398438
ACCEL,2011-03-16 16:02:37.178,109,1931,0.00390625,0.2773438,-0.671875
ACCEL,2011-03-16 16:02:37.198,109,1932,0.06640625,0.078125,-0.9570313
ACCEL,2011-03-16 16:02:37.218,109,1933,-0.1054688,-0.5546875,-0.6796875
ACCEL,2011-03-16 16:02:37.239,109,1934,-0.0390625,-1.472656,-1.679688
ACCEL,2011-03-16 16:02:37.259,109,1935,-0.140625,-1.769531,-1.378906
ACCEL,2011-03-16 16:02:37.279,109,1936,-0.00390625,-1.71875,-1.457031
ACCEL,2011-03-16 16:02:37.299,109,1937,0.1367188,-1.679688,-1.347656
ACCEL,2011-03-16 16:02:37.319,109,1938,0.1328125,-1.578125,-1.269531
ACCEL,2011-03-16 16:02:37.339,109,1939,0.0703125,-1.382813,-1.363281
ACCEL,2011-03-16 16:02:37.359,109,1940,0.0546875,-1.15625,-1.109375
ACCEL,2011-03-16 16:02:37.380,109,1941,0.09375,-0.984375,-0.8945313
ACCEL,2011-03-16 16:02:37.400,109,1942,0.1289063,-0.7890625,-0.6640625
ACCEL,2011-03-16 16:02:37.420,109,1943,0.1328125,-0.5742188,-0.4804688
ACCEL,2011-03-16 16:02:37.440,109,1944,0.078125,-0.2304688,-0.3945313
ACCEL,2011-03-16 16:02:37.460,109,1945,0.03125,0.06640625,-0.40625
ACCEL,2011-03-16 16:02:37.480,109,1946,0.0625,0.2421875,-0.3476563
ACCEL,2011-03-16 16:02:37.500,109,1947,-0.3476563,0.9179688,-1.121094
ACCEL,2011-03-16 16:02:37.531,109,1948,0.203125,-0.1835938,-0.3046875
ACCEL,2011-03-16 16:02:37.551,109,1949,-0.0625,-0.015625,-0.6757813
ACCEL,2011-03-16 16:02:37.571,109,1950,-0.2578125,0.2226563,-0.9335938
ACCEL,2011-03-16 16:02:37.591,109,1951,-0.09765625,-0.1054688,-0.8164063
ACCEL,2011-03-16 16:02:37.611,109,1952,0.0703125,-0.08984375,-0.46875
ACCEL,2011-03-16 16:02:37.631,109,1953,-0.0703125,-0.3828125,-0.5703125
ACCEL,2011-03-16 16:02:37.651,109,1954,-0.0390625,-0.6132813,-0.5625
ACCEL,2011-03-16 16:02:37.671,109,1955,-0.2226563,-0.9414063,-0.9726563
ACCEL,2011-03-16 16:02:37.668,109,1956,0.1015625,-1.011719,-1.078125
ACCEL,2011-03-16 16:02:37.688,109,1957,0.0390625,-1.644531,-0.6484375
ACCEL,2011-03-16 16:02:37.708,109,1958,-0.375,-1.472656,-1.976563
ACCEL,2011-03-16 16:02:37.728,109,1959,-0.2265625,-1.535156,-1.867188
ACCEL,2011-03-16 16:02:37.748,109,1960,-0.1132813,-1.269531,-1.507813
ACCEL,2011-03-16 16:02:37.768,109,1961,0.05859375,-1.132813,-1.097656
ACCEL,2011-03-16 16:02:37.788,109,1962,-0.06640625,-0.8046875,-0.9765625
ACCEL,2011-03-16 16:02:37.808,109,1963,0.04296875,-0.78125,-0.75
ACCEL,2011-03-16 16:02:37.828,109,1964,0.06640625,-0.765625,-0.5976563
ACCEL,2011-03-16 16:02:37.864,109,1965,0.04296875,-0.59375,-0.5117188
ACCEL,2011-03-16 16:02:37.884,109,1966,0.109375,-0.6328125,-0.46875
ACCEL,2011-03-16 16:02:37.904,109,1967,0.1289063,-0.6875,-0.484375
ACCEL,2011-03-16 16:02:37.924,109,1968,0.02734375,-0.4140625,-0.5351563
ACCEL,2011-03-16 16:02:37.944,109,1969,0.0390625,-0.2226563,-0.6132813
ACCEL,2011-03-16 16:02:37.964,109,1970,0.1171875,-0.03125,-0.6015625
ACCEL,2011-03-16 16:02:37.984,109,1971,-0.2695313,1.15625,-1.140625
ACCEL,2011-03-16 16:02:37.996,109,1972,0.125,0.04296875,-0.6914063
ACCEL,2011-03-16 16:02:38.016,109,1973,0.015625,-0.3203125,-0.9882813
ACCEL,2011-03-16 16:02:38.036,109,1974,-0.015625,-0.40625,-0.9765625
ACCEL,2011-03-16 16:02:38.056,109,1975,0.1367188,-0.4375,-0.890625
ACCEL,2011-03-16 16:02:38.076,109,1976,0.1992188,-0.3984375,-0.8359375
ACCEL,2011-03-16 16:02:38.096,109,1977,0.0625,-0.0078125,-0.7265625
ACCEL,2011-03-16 16:02:38.116,109,1978,-0.1171875,0.6484375,-0.640625
ACCEL,2011-03-16 16:02:38.136,109,1979,0.0703125,0.04296875,-0.578125
ACCEL,2011-03-16 16:02:38.156,109,1980,-0.4921875,0.1601563,-1.089844
ACCEL,2011-03-16 16:02:38.188,109,1981,-0.3320313,-0.5546875,-1.070313
ACCEL,2011-03-16 16:02:38.208,109,1982,-0.1914063,-1.339844,-1.359375
ACCEL,2011-03-16 16:02:38.228,109,1983,-0.2304688,-1.507813,-1.46875
ACCEL,2011-03-16 16:02:38.248,109,1984,-0.2226563,-1.472656,-1.539063
ACCEL,2011-03-16 16:02:38.268,109,1985,-0.0546875,-1.21875,-1.164063
ACCEL,2011-03-16 16:02:38.288,109,1986,0.0234375,-1.367188,-1.351563
ACCEL,2011-03-16 16:02:38.308,109,1987,-0.04296875,-1.136719,-1.339844
ACCEL,2011-03-16 16:02:38.328,109,1988,0.04296875,-1.074219,-1.039063
ACCEL,2011-03-16 16:02:38.344,109,1989,0.05859375,-0.890625,-0.8085938
ACCEL,2011-03-16 16:02:38.364,109,1990,0.07421875,-0.6953125,-0.6132813
ACCEL,2011-03-16 16:02:38.384,109,1991,0.03515625,-0.4570313,-0.5117188
ACCEL,2011-03-16 16:02:38.404,109,1992,0.00390625,-0.2070313,-0.5195313
ACCEL,2011-03-16 16:02:38.424,109,1993,-0.03125,0.00390625,-0.5429688
ACCEL,2011-03-16 16:02:38.444,109,1994,-0.03515625,0.1367188,-0.5585938
ACCEL,2011-03-16 16:02:38.464,109,1995,-0.1523438,0.4335938,-0.8632813
ACCEL,2011-03-16 16:02:38.484,109,1996,-0.1015625,-0.1523438,-1
ACCEL,2011-03-16 16:02:38.496,109,1997,-0.0703125,0,-0.9492188
ACCEL,2011-03-16 16:02:38.516,109,1998,-0.1015625,0.234375,-0.7421875
ACCEL,2011-03-16 16:02:38.536,109,1999,-0.0078125,0.01171875,-0.6679688
ACCEL,2011-03-16 16:02:38.556,109,2000,0.1210938,-0.05859375,-0.5820313
ACCEL,2011-03-16 16:02:38.576,109,2001,0.08984375,0.265625,-0.7109375
ACCEL,2011-03-16 16:02:38.596,109,2002,-0.06640625,-0.03125,-0.7460938
ACCEL,2011-03-16 16:02:38.616,109,2003,-0.1054688,-0.5742188,-1.050781
ACCEL,2011-03-16 16:02:38.636,109,2004,-0.1601563,-0.9296875,-1.308594
ACCEL,2011-03-16 16:02:38.656,109,2005,-0.09765625,-0.90625,-1.238281
ACCEL,2011-03-16 16:02:38.672,109,2006,-0.09765625,-1.503906,-1.167969
ACCEL,2011-03-16 16:02:38.692,109,2007,-0.2890625,-1.4375,-1.835938
ACCEL,2011-03-16 16:02:38.712,109,2008,-0.1640625,-1.34375,-1.609375
ACCEL,2011-03-16 16:02:38.732,109,2009,-0.015625,-1.238281,-1.308594
ACCEL,2011-03-16 16:02:38.752,109,2010,0.01953125,-1.074219,-0.9765625
ACCEL,2011-03-16 16:02:38.772,109,2011,0.0078125,-0.90625,-0.8203125
ACCEL,2011-03-16 16:02:38.792,109,2012,0.015625,-0.75,-0.7226563
ACCEL,2011-03-16 16:02:38.812,109,2013,0,-0.5585938,-0.6601563
ACCEL,2011-03-16 16:02:38.848,109,2014,0.00390625,-0.4101563,-0.6640625
ACCEL,2011-03-16 16:02:38.868,109,2015,-0.02734375,-0.1953125,-0.6796875
ACCEL,2011-03-16 16:02:38.888,109,2016,-0.0078125,-0.0390625,-0.6523438
ACCEL,2011-03-16 16:02:38.908,109,2017,0.0234375,0.1054688,-0.5664063
ACCEL,2011-03-16 16:02:38.928,109,2018,0.2929688,0.2539063,-0.6875
ACCEL,2011-03-16 16:02:38.948,109,2019,0.1328125,-0.046875,-0.671875
ACCEL,2011-03-16 16:02:38.968,109,2020,-0.07421875,-0.01171875,-1.105469
ACCEL,2011-03-16 16:02:38.985,109,2021,-0.1015625,0.07421875,-0.96875
ACCEL,2011-03-16 16:02:39.005,109,2022,-0.01171875,0.4570313,-0.7851563
ACCEL,2011-03-16 16:02:39.025,109,2023,0.2304688,-0.3828125,-0.4453125
ACCEL,2011-03-16 16:02:39.045,109,2024,0.171875,-0.4960938,-0.4570313
ACCEL,2011-03-16 16:02:39.065,109,2025,0.1796875,-0.06640625,-0.5507813
ACCEL,2011-03-16 16:02:39.085,109,2026,-0.1835938,-0.90625,-1.183594
